,sentence,label
132,흉자놈들 도태좆들이랑 망혼하고 장애 유충이나 까고 후에는 서로 파멸하는 모습 보며 카타르시스나 느끼겠노,욕설
133,일은 흑좆나게 시켜먹음ㅋㅋㅋ,욕설
134,결론은 한남좆같은 사회프레임을 너무 의식하지말고 자신이 진짜 즐길수 있는것들을 찾아봤으면 함,욕설
135,이 가좆장제 속에서는 오로지 하나 좆욕구를 만족시키기 위한 가치만이 살아남는 거노.,욕설
136,다독으로 사고력 기르고 당당하게 말하는 연습 흑좆나 했더니,욕설
137,보지들은 언어능력 상타치라 힘주고 하면 다들 금방 잘 할 수 있을거노.,욕설
138,한국말 할때마다 좆같앗는데 이유가 이거였노,욕설
139,남혐 전에 좆초회사 다녔노,욕설
140,근데 좆팔 돌아오는건 성희롱이었다.,욕설
141,좆놈들 태새변환해서 좆사장까지 내눈치보노,욕설
142, 조빨러들이나 한남69충들에 둘러싸이기 때문에,욕설
143,크리스마스 모텔 웅앵웅 지랄할때 남 다 쌩까고 내가 살고싶은 삶을 위해서 봊나게 노력했다.,욕설
144,와 흑좆나 공감된다 이기,욕설
145,냄져들은 성욕이 웅앵 본능이 부랄어쩌고하는 소리는 다 같잖은 핑계에 불과하다이기야.,욕설
146,그 순간 한남들이 가슴에 5만원 꽂아주면 더 잘노네어쩌네 부랄터지는 소리하는 게 오버랩되었노.,욕설
147,현실은 좆물 질질 흘리는 자지새끼들이 어떻게하면,욕설
148,보지 따먹어볼까 강제로 제압해서 강간할까,욕설
149,자지를 칼로 찍어라.,욕설
150,보지들의 목숨은 자기것이 아니라 한남충들이 얼마든지,욕설
151,좆 쪼그라들어서 미친년 무서워하는 거다,욕설
152,재기해라 허벌창놈 걸레놈아,욕설
153,재기한 바지락을 으어디 개불이라고 올려치기하고 자빠졌노,욕설
154,개돼지들 눈치나 앵나 살피면서 웅앵웅 하는 태도는 버려야되노.,욕설
155,개같은 새끼들 패고 코르셋벗고 브라풀고 자유롭게 살면된다이기,욕설
156,여자 피나는거보고 딸치는세끼는 모냐,욕설
157,저 병신색히 닉 꼬라지 보소,욕설
158,여고딩 팬티 직거래 12에 샀는데 ㄱㅊ?,욕설
159,아 눈물 좆나흘러 나 갈거야 씨발,욕설
160,아니 또 좆피엘 미국스포츠 따라하네,욕설
161,눈물나 밖에 좆나 우울해,욕설
162,왜 자신있께 말못해 여초딩 강간한다고,욕설
163,떡치고 싶으면 우울증갤로 와라ㅇㅇ,욕설
164,아 여쪼띵 침냄새 맡고싶다,욕설
165,개졷두 대가리 오함마로 으깨고싶다,욕설
166,개좆즈만보단 좆발라가 테크닉 무조건위임,욕설
167,여쪼띵 강간하면 어캐댐,욕설
168,얘 팬티냄새 맡고싶옹,욕설
169,미셩년자한테 성범죄 저지른 콥톡방 방장새끼가 딱 해충갤 평균,욕설
170,화장실몰카 탈의실몰카 이런거 개꼴렸는데,욕설
171,여쪼띵 깡깐하고싶다,욕설
172,신생아강간 애미 기생충보러갔다가 들박으로 보지쑤셔짐 ㅋㅋ,욕설
173,애미 일본가서 혐한부대한테 보지 돌림빵당함 ㅋ,욕설
174,신생아강간 탯줄 옆집남자가 짜름ㅋㅋ,욕설
175,마라도나든 메좆이든 둘다 약쟁이,욕설
176,애미뒤진 손뽕들 선넘네 ㄹㅇ,욕설
177,애미 강간하려고 빤쓰내렸는데 꼬랑애 역겨움,욕설
178,느그애미 보지에 구데기나 치워라,욕설
179,애미년 강간당하고 있네,욕설
180,느그애미 보지 썰어서 스테끼 해먹음,욕설
181,애미가 신생아때 강간당함,욕설
182,애미는 좆물받이 저새끼는 욕받이,욕설
183,절라도홍어들 싸그리 뒤졌으면 좋겠네,욕설
184,이 벌레새끼들,욕설
185, 누가 좀 소각시켰으면.,욕설
186,두환이형이 광주폭동 때 다 죽여버렸어아야 했는데,욕설
187,핑두 g컵녀 들어갈라니까 짤렸네 다시올려줘,욕설
188,아씨빨 개좆같은 슬램덩크 애기하는거네,욕설
189,에라이 씨발세끼들 나가뒤져,욕설
190,저새끼 숫자닉아니냐? 닉넴클라스 봐라 씨발,욕설
191,좆거킹 배달 시간 됐는데도 안오네 개씨발,욕설
192,내가 어떻게암 그런걸 씨밸아 그세끼들 본인도 아니고,욕설
193,신생아 저 정공새끼 개병신같네,욕설
194,씨발 왜케 갤에서 좆자닉 냄세나노,욕설
195,구토들이 젖닌들 국대 무관으로 까던 시절에 나온 짤임,욕설
196,돼좆두 버러지새끼를 졷두에 비비네,욕설
197,기성용 좆망 구자철 좆망 손흥민 좆망,욕설
198,ㄹㅇ 짤녀같은 여친생기면 한달에 몇번섹스하냐,욕설
199,엄마없는새끼 vs 아빠없는새끼,욕설
200,님은 걍 축구를 느그 부모보다도 모름,욕설
201,저세낀 진짜 좆 찐따같네요,욕설
202,좆도 모르면 깝치지말라구,욕설
203,좆라빱새끼 오늘도 갓자닉한테 개찢기네 ㅋㅋ,욕설
204,좆나게 또 입만 터시네요 여전히,욕설
205,님아 빨리 내 꼬추 빠세요 졌으니까,욕설
206,내가 애미 욕해도 님은 상관업잔아요 뒤져서,욕설
207,장난까세요 이개새끼야,욕설
208,개 떨거지 미친 또라이 호로 쓰레기 후장 보지 자지 같은세꺄,욕설
209,너나 아세요 씨벌럼아 소름끼치네요 스토커세요,욕설
210,닭집에 엠창민 대신 개좆두가 와도 그대로인 이유,욕설
211,둘다 골욕심은 ㅈㄴ 많은데 정작 드리블이랑 패스는 ㅈ같이 못함,욕설
212,방구석에서 씹덕물 쳐보는 저능아 찐따새끼,욕설
213,무슨 뇌에 병변 왔나 씨밸,욕설
214,나가 뒤져버리세요 애미 칼로 찔러버리기전에,욕설
215,차단하던가 씨벌련아 욕해도 가만이 처듣고 있으면서,욕설
216,차단해 씹새끼야 누가 그딴거 신경이나 쓸거같애,욕설
217,유럽듣보리그 병신도 개리그가면 날라다닐듯ㅋㅋ,욕설
218,한국여자만 보면 기분좋다가도 좆같아짐,욕설
219,네 다음 존못 도태 한남의 눈물겨운 울부짖음,욕설
220,상대성이론이라고 걔네도 널보면 기분 좆같아질걸,욕설
221,하긴 뭐 페미년들도 하루가 멀다하고 한남들 죽이고 싶다 지랄 클리털고 앉아있는데 너도 그럴수 있지,욕설
222,이런 밑도 끝도 없는 병신같은 똥글에 추천수봐라,욕설
223,그래서 애미도 죽여버렸노?,욕설
224,빨갱이 잘 조지는건 오히려 이슬람쪽인데 병신아 ㅋㅋㅋ,욕설
225,일베에서 개독교 빨았던 적이 과거 단 한 번이라도 있었냐,욕설
226,일베는 태생부터 혐개독교 스탠스였는데,욕설
227,똥꼬충 시위할 때는 좀 ㅇㅈ 하긴 했어도,욕설
228,먼개소리야 시발ㅋㅋ 개좇같은 논리로 다른사람들한테 전파하니까 그게 꼴보기 싫은거지,욕설
229,거기는 발갱이 본진,욕설
230,제목보자마자 좇같은 틀딱새끼는 로그인하고 ㅁㅈㅎ,욕설
231,옛날부터 통1베 기독교 존나 극혐햇는데 애미뒤진 유입충 새끼들 또 나대네,욕설
232,응 홍어새끼들은 홍어새끼들이고,욕설
233,씹미개 개독 병신새끼들은 그것들대로 버러지새끼들이야~,욕설
234,어디서 분탕홍어 소환해서 물을 타 병신새끼들이 ㅋㅋㅋㅋㅋ,욕설
235,니네끼리 믿으라고 씨발년들아,욕설
236,틀딱들이 일베먹으니 이제 개독들도 쉴드치네 ㅋㅋㅋ,욕설
237,예수 개새끼 씨발늠,욕설
238,지랄하네 애미뒤진 씨발 개독 틀딱새끼,욕설
239,개독새끼들 어느순간부터 정치세력화하기시작한듯,욕설
240,문재앙 딸년이랑 그 딸년 애새끼가 꼭 바이러스 걸려서 뒤지길,욕설
241,그동안 저 새끼들이 돌아다니면서 일부러 또 얼마나 침을 뱉고 다녔을까,욕설
242,국민은 개돼지호구호갱,욕설
243,이게 다 누구때문이라고? 재앙이뽑은 김치년과 그 김치년을 세뇌시킨 여성부때문,욕설
244,대가리깨져도 대한민국 씹창낼놈,욕설
245,진짜 찢어죽여야된다 저새끼는,욕설
246,진짜 찢어죽여야된다 저새끼는,욕설
247,씹창난 문병신식 경제정책 짱깨페렴덕에 욕 덜먹게 생겼네,욕설
248,정신줄 놓은 새끼,욕설
249,경제를 짱깨새끼들 관광으로 살리노,욕설
250,저 좆병신새끼한테 개돼지 취급 당하고도 그저 좋은 달창 아메바씹년들,욕설
251,니 마누라 면상의 기미가 좋아졌냐 씨발새끼야,욕설
252,문재앙이 좋아하는 야동 내용일듯,욕설
253,속좁아터진 느그 진핑이 가랭이사이로 기어다니노 좆찐따같은년,욕설
254,그냥 씹분통 종자구만 뭔 기독교야,욕설
255,욕 좀 쳐먹더라도 돈이 우선이지 씨발ㅋㅋㅋ,욕설
256,와 진짜 개좆같다,욕설
257,걍 결론은 하루빨리 이 좆같은 나라 탈출해라,욕설
258,하 저런 산업역군 보지에 한 가득 질내사정해주고싶다,욕설
259,위안부 시발거 지긋지긋하다,욕설
260,창녀할매팔아서 돈존나뜯으려다 나가리 웃흥 문재인개븅신새끼,욕설
261,그리고 병신들아 신분제는 당시 세계 도처에 일본에도 다 있었어 무슨 조선에서만 신분제 만들어서 백성들 노예로 굴렸다고 하냐,욕설
262,반일홍어새끼는 꺼져,욕설
263,뭔데 또 기어나와서 지랄이노,욕설
264,이 좆같은 부캐 주작충 새끼,욕설
265,그중에서 조선을 옹호하는 새끼들이 제일 병신같음,욕설
266,개열심히 공부해서 니따위 새끼들 쳐다도 못보는 학력 스펙임,욕설
267,지지율이야 김치년들한테만 전화걸면되는거고,욕설
268,빨갱이 새끼들이 나라를 좀먹고 있음,욕설
269,철없는 김치녀 작품으로 추정해 본다.,욕설
270,생리대어쩌고 저쩌고 감성팔이광고 개새끼들 아가리 똥퍼다틀어막고싶음,욕설
271,여튼 택시 모는 새끼들이랑은 상종하면 안됨,욕설
272,운전실력 좆병신 1티어 택좆,욕설
273,화물 버스는 좆같이하긴해도 대형이라도 땄지,욕설
274,좆시 이 개새끼들은 사회에서 버러지라 아무곳에도 속하지 못하고,욕설
275,승용차 가마꾼이나 쳐하는 불가촉천민새끼들임,욕설
276,병신종자답게 운전센스도 애미가 터진지 오래,욕설
277,택시기사 인생실패자 루저새끼들이 일본을 가볼수있을꺼라 생각하노,욕설
278,보지들 은근히 잘생긴애가 강간해주는 판타지있음,욕설
279,오늘부터 우리은행 아니고 느그은행.,욕설
280,누가 느그은행에 돈 맡기노 ㅋㅋ,욕설
281,그냥 씹분통 종자구만 뭔 기독교야,욕설
282,흔히 앞에 서 있는데 그대로 쳐박네라는 좆뚜벅 병신새끼들,욕설
283,그런 새끼들이 운전대 몰면 김여사마냥 그대로 꼴아박고 뒈지거나 평생 노예됨,욕설
284,씨발 예비 살인마새끼야,욕설
285,장난까나 시발 진짜,욕설
286,한샘 다니면 유부녀 따먹는다매,욕설
287,깜둥이년은 가슴이 커도 좆같이 못생겼네,욕설
288,시발 개 목써는장면 모자이크 좆같이해서 피튀기는거 다나옴,욕설
289,방뎅이 짤라서 내장 빼낸거 존나 웃기네,욕설
290,개먹고 나서 리포터 저 시발련도 따먹을껄,욕설
291,씨발새끼들 인간들의 벗을.. 개 낍쌔끼들이 진짜,욕설
292,니거니거 개 씹짱깨마냥 씹물 흐르는 씹보지에 태어난 니거 새끼,욕설
293,니거새끼들도 개처먹는데 왜 우리나라만 가지고 지랄들이냐,욕설
294,어제 장사 안된다던 국밥집 사장 게이 아니냐,욕설
295,야이 씨@발 본인인증해서 30세이상은 일베 못들어오게하면 안되나 혐오스럽노,욕설
296,일단 정치인 새끼들 부터 썩었으니,욕설
297,일류는 나다 십새끼야,욕설
298,이제는 느그 좆본 걱정이나 해라 친일파새기들아ㅋㅋ,욕설
299,한국인의 가족이잖아 일베충 새끼들아,욕설
300, 이 씨부럴 탱탱구리들아,욕설
301,김정은 만도 못한새끼 ㅋㅋㅋ,욕설
302,살다살다 김정은이 나을정도니 씨발 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 병신새끼,욕설
303, 씨발 불편한거 줫나 많네,욕설
304,일게이들은 진짜 왜이렇게 삐뚤어졌냐,욕설
305,보개씹창년 허벌보지 니미 씹창 좆물통을 사시미로 토막내고 도려낸 다음에 마체테로 찢어죽여버릴 육변기 개갈보지 씹창년새끼들이다 이기야,욕설
306,마디로 말해서 기생충 구더기 곱등이 연가시 엑시구아 바퀴벌레 시궁창 쥐새끼들한테 애미 애비가 창자까지 돌림빵쳐당한 유사인류 씹김치년,욕설
307,쉽게 생각해 그새끼들 못 먹어서 아쉬운놈들이야,욕설
308,야이 개새끼야!! 꼭 누굴 비꼬고 신상털이를 해야만 했냐!!,욕설
309,사스가...저런씹저능아새끼한테는 정수기가 어울리지,욕설
310,씨발 너네가 한번 정수기 같은 년이 좆빨아준다고 상상해봐라,욕설
311,문재앙 저새끼는 사실상 천벌 선결제,욕설
312,뇌썩은 치매충새끼들,욕설
313,둘다 별로야 이 시발 틀딱아,욕설
314,사이드 브레이크를 걸어버려 ㅋㅋㅋ 씨발,욕설
315,얼마전에 2중주차로 싸이드 걸어놓고 뻔뻔하게 지랄 떨던 틀딱새끼 생각나네,욕설
316,그때 죽이고 싶더라 씹쌔끼,욕설
317,이중주차하는 새끼들 주차자리있어도 지편한대로 차막고 이중주차함,욕설
318,저번에 이중주차 해놓고 사이드까지 채워놓고 전화도 안받는 씹쌔끼가 있었음,욕설
319,생각할수록 노무 좃같아서 나도 다음날 똑같이 그새끼 차 찾아가지고 앞에다 이중주차 해놓고 옆에 빠져나올 수 있는 공간도 동생차 대동해서 막아버림,욕설
320,다음날 전화 존나오고 문자 존나 왔는데 다 씹음ㅋㅋ씹쌔끼,욕설
321,아 씨발것들 별세개면 군당장급인데..... 뭐하는 개쉐이들이냐,욕설
322,쪽발이 새끼 끄지라,욕설
323,애미 뒤져서 없다 니애미 창녀,욕설
324,이씨발 애미뒤진 씹창년은 댓글1페이지부터 전부다 댓글 싸지르노,욕설
325,전라도출신 홍어 강용석 개새끼 특징,욕설
326,느개비 빕스가서 영수증 부가세보고 부가세 안시켰다고 부랄발광함,욕설
327,느개비 최종학력 피자스쿨,욕설
328,느개비 서브웨이가서 지하철어딧냐고 광광됨,욕설
329,느개비 탄생석 치석 ㅅㄱ링,욕설
330,이 개새끼들아 시발 개좆창난새끼들아 시발련들아  나보면 표정 존나안좋음 씨발련아,욕설
331,그래놓고 내옆에 올때 일부러 최지영한테 존나 다정하게 말검 병신찔밥새끼가 존나 2년다닌사람이랑 2개월다닌사람이랑 차이가 당연히나지 않겠니!?,욕설
332,시발 내가 이기 회사에서 만든 프로그램 2개월안에 어떻게 통달해 개 병신시발럼들이,욕설
333,하나를 생각하면 둘을 몰라 미친새끼가,욕설
334,그러니까 어제 걔한테 하나를 알려주면 둘을 아는구나 아주 기특해 크하하하 하고 쳐웃지,욕설
335,시발년이 괜히 그런말하는게아님 병신새끼 지가 좆도 모르니까,욕설
336,줄때받어 병시나,욕설
337,이만희교주는 생각 자체가 죤마니,욕설
338,지랄하지말고 받아쳐먹어 쇼하냐,욕설
339,받으라는 샞기들 ㅈ나기회주의자들ㅋㅋㅋ,욕설
340,염병 개같이 벌어서 정승같이 쓰라했다 여기에 맞는 비윤진 모르겠으나 왜,욕설
341,이만희 이 정신병자야 니 때문에 경제적 손실이 얼마나 손해봤는데 정신병자 염병아,욕설
342,신천지+좆선 방가놈들+자한당,욕설
343,문재인하고 같이 꺼져라 그냥,욕설
344,문짜파구리 사형시키는데나 쓰자,욕설
345,사이비 믿는 정신병자들 탈탈 털어서 간부들 재산 축척하고 호의호식 하다가 남은 돈이냐,욕설
346,잘했다 저것들 돈주고 도리 다했다고 지랄한다,욕설
347,줘도지랄들 안줘도지랄들 할껄,욕설
348,지랄하고 자빠졌네 왜 니가 안받는걸 결정해,욕설
349,문재인 면상 불태우고싶다,욕설
350,왜 안받고 처지랄이야...공짜로검사까지다해주고..,욕설
351,하하새끼 죽여버리고 싶었을때가,욕설
352,뒤에서 소리 지름 놀랬어 사람떨어졌으면 이새끼 티비에서 안보는건데,욕설
353,뭔 인생들을 얼마나 ㅈ같이 살았길래 일개 예능이 인생 주제가 됐냐,욕설
354,솔직히 문재앙 이새끼 부임이후로 예능판 좆망함,욕설
355,포그바 신천지 씨발 ㅋㅋㅋㅋㅋ,욕설
356,조센징은 왜 모든분야가 하향평준화돼,욕설
357,씹도충들 게시판 좆창내는건 방송에서도,욕설
358,뭐니뭐니해도 씹도충이 무도 망친거 1등 공신이긴 하지,욕설
359,요즘 예능 다씹좆망이긴한데 놀토는 볼만함,욕설
360,좆수근 무식컨셉 잡는거 선넘어서 존나 재미없음,욕설
361,펨코하는 새키는 좀 걸러 씹탱아,욕설
362,좆자는 와꾸말곤 장점이없다ㄹㅇ,욕설
363,근데 이새끼는 어떻게 먹을생각을 하게됐을까,욕설
364,악설님 자짤쳐바꾸셔도 앰창인생력은 그대로일듯,욕설
365,좆자는 실전도 좆밥이고 스탯딸도 좆밥이고 이건 뭐냐ㅇ,욕설
366,좆간새끼들 고릴라무시존나웃기노ㅋㅋㅋ,욕설
367,반일 정신병자들 어휴 시발ㅋㅋㅋㅋ,욕설
368,조센징들 일본에 또 시비터네 ㅋ,욕설
369,친일 명예쪽바리 어휴시발 ㅋㅋㅋㅋ 또 자국민한테 시비네,욕설
370,대깨문 센징이년 부들부들 화났노?,욕설
371,개새끼는 한번겁먹으면 바로튐,욕설
372,솔까 씨밸 만치니 이새기 네좆보다 딸릴 게 뭐임,욕설
373,진짜 갤 좃망 쌉망 똥망햇네,욕설
